"City";"IRIS";"X11100";"X11210";"X11220";"X11230";"X11240";"X11300";"X12100";"X12210";"X12220";"X12230";"X12300";"X12400";"X13100";"X13300";"X13400";"X14100";"X14200";"X21000";"X22000";"X23000";"X24000";"X25000";"X31000";"X32000";"X33000";"X40000";"X50000"
"Bordeaux";330030101;0,0332693497903694;1,48015883007087;0,823524928561443;0,109089970960216;0,15022687799517;0,0173010919823923;0,630831418368082;0,00161204565820843;0,318937100901255;0,0440257695078142;0;0;0,00673629599111527;0,0238603037095647;0,0223497627549917;0,0263234508385286;0,169024584405791;2,2305607987862;2,17938928466108;2,66797836591875;0;0;1,68971342044633;0,231095978308616;0;0,0152890694992859;0,864409733489543
"Bordeaux";330030102;0,0281838463253846;0,69230941638375;0,674659542183735;0,0524614354350693;0,0632452680762173;0,036464744567438;0,715482752932603;0,0662763758204961;0,316732528592998;0,0937718562137659;0;0;0,0479984199158913;0,00842067529146373;0,058081445925985;0,0392644032515003;0,00574206173646264;0,0506147715229262;0,150227296544194;0,531230643304695;0;0;0,661686035998575;0,0748109391324371;0;0;0
"Bordeaux";330030103;0,0224673125486796;0,818963013045595;0,21703988984841;0;0,0363290487660542;0,0202545725552808;0,510724950551604;0;0,187751173733345;0,0550170949602727;0,000584410711806268;0;0,046793034466058;0;0,00700204420340434;0,0440906017370399;0,0029866100409627;0,0291540969327892;0,300520169709944;1,87548910680046;0;0;0,206883732907494;0,116322815928934;0;0;0,01863394882052
"Bordeaux";330030104;0,021335428761752;1,29078223866185;0,188571186688039;0,0471879234046862;0,0514005462692529;0;0,0760850126181973;0;0,138676365713074;0,1028929099753;0;0;0;0;0,0305718479146678;0,0670100897097923;0,0261331428101289;0,0232419055959489;0,0219833358025067;0,0460970268336832;0;0;0,0691012117050383;0;0;0;0
"Bordeaux";330040000;0,0391152051552638;0,570464853116154;0,37356265784754;0,090311250397752;0,0521138045014306;0,029904284130441;0,636651501654418;0;0,603385221328554;0,161293882615328;1,56188469080691;0;0,383797557940992;0;0,00393168329080939;0,0231963429219611;0,449600050298622;2,4426146563633;2,02771349374251;3,88328129890444;0;0;2,37939903790376;0,933009756096882;0;0;8,10848739072189
"Bordeaux";330130101;0,0186661976903034;1,34391732021309;0,121095245443547;0,0171071680529136;0,0492142211148664;0;0,718720713911041;0,0737178032155335;0,327149973057404;0;0;0;0;0;0,0285576425704211;0,286362543842706;0,0929883407853563;0,0473749460740276;0,137191805200827;0,267921007404244;0;0;0,223059051387346;0,0211946962674791;0;0;0
"Bordeaux";330130104;0,00000251316623389721;0,993586969826205;0,357292967709312;0,0678117717173733;0,0379912905875295;0;0,690249507235529;0,0357190755812004;0,21329092153928;0;0;0;0,00928149071696773;0;0,0213149954222962;0,1141446168004;0,109087365415385;0,0250507580159679;0,0547481162925223;0,477449891351169;0;0;0,289142040848265;0,000797817118763924;0;0;0
"Bordeaux";330320101;0,0518664127318608;0,520529595866868;0,0403222097386532;0,0120120176824369;0,00414279257950559;0;0,149435775767029;0;0,126741433052655;0,007430522129044;0;0;0;0;0,0347800209579468;0,0106820456382924;0,0468693941613347;0,0220220076873563;0,326175954088344;0,305993718515141;0;0;0,0938036911198515;0,0433971912225413;0;0;0
"Bordeaux";330320102;0,0237759098987547;0,471961213997753;0,0380483733319463;0,00540183634545142;0;0;0,0381062446363512;0;0,105108692257967;0,00467015836349782;0;0;0;0;0,0014202380335778;0,109576721719669;0,0360014964312688;0;0,0000123921690192074;0;0;0;0;0;0;0;0,0280975787752531
"Bordeaux";330320103;0,0444455631309057;0,473600535831211;0,00647009956982732;0,00697404035490751;0,0180574886033591;0,0106453471490815;0,118573935352722;0;0,0935058977891965;0,0105529140317473;0;0;0;0;0,00461885885865986;0,389994003030737;0,0738889185226516;0;0;0,0128771506243348;0;0;0;0;0;0;0
"Bordeaux";330320104;0;0,0360274027184804;0,0233412253816863;0,0126950610952303;0;0;2,13221073471895;0;0,262441892408103;0,31037272345177;1,33773372884714;0;0,0323036748728603;0;0,00548023932037875;0,00173636307539046;0,000000491211052052677;0,0104394717537344;0,151609220606111;0,58533468631692;0;0;0,435115384529804;0,0268898823086247;0;0;0,997952743610293
"Bordeaux";330390101;0,256106429484432;0,149355840177903;0;0;0;0;0,00611422856359914;0;0,0563031345581198;0,00724077252750471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bordeaux";330390102;0,311937893784726;0,240805528263828;0;0;0;0;0,0784642528350803;0;0,0692143423130097;0;0;0;0;0;0;0,000000138697208778467;0;0;0;0,0149886196407229;0;0;0;0;0;0;0
"Bordeaux";330390103;0,173636016954566;0,279564597725788;0;0;0;0;0,0258080742735867;0;0,0638454220777921;0,0135864813937846;0;0;0;0;0,0322736787303966;0;0,0563210087844911;0;0;0;0;0;0;0;0;0;0
"Bordeaux";330390104;0,328871828357829;0,202837334707296;0;0;0;0;0,541838561193877;0,0164471683953311;0,149759445975143;0;0;0;0;0;0,00601043535586633;0,0240036894999743;0,0206559118398428;0;0;0,0371539744875729;0;0;0;0;0;0;0,361106424752474
"Bordeaux";330390105;0,134585771323902;0,473484780372467;0,139435788941273;0;0,00387976297931653;0;0,281917901959761;0;0,119111539676444;0,0423439133252949;0;0;0;0;0,0056760366977239;0,062944316600427;0,0375117315614097;0,0334126755882297;0;0,180414837563658;0;0;0,359530255976746;0;0;0;0,0126804880007841
"Bordeaux";330390106;0,0747725065945672;0,0632139142060193;0;0;0;0;0,141283056030287;0;0,0414784733915008;0;0;0;0;0;0;0;0,000127000298082829;0;0;0;0;0;0;0;0;0;0
